ID,FuelType,TransmissionType,Doors
43.0,Petrol,Manual,2doors
44.0,Diesel,Manual,2doors
45.0,Diesel,Manual,5doors
46.0,Diesel,Manual,5doors
47.0,Diesel,Manual,5doors
48.0,Petrol,Manual,2doors
49.0,Diesel,Manual,2doors
50.0,Petrol,Manual,5doors
51.0,Diesel,Manual,5doors
52.0,Petrol,Manual,5doors
53.0,Petrol,Automatic,2doors
54.0,Petrol,Manual,2doors
55.0,Petrol,Automatic,5doors
56.0,Petrol,Manual,5doors
57.0,Petrol,Manual,5doors
58.0,Petrol,Manual,2doors
59.0,Petrol,Automatic,2doors
60.0,Petrol,Manual,5doors
61.0,Petrol,Manual,5doors
62.0,Petrol,Manual,5doors
63.0,Petrol,Manual,2doors
64.0,Petrol,Manual,2doors
65.0,Petrol,Manual,5doors
66.0,Petrol,Manual,5doors
67.0,Petrol,Manual,5doors
68.0,Petrol,Manual,2doors
69.0,Diesel,Manual,2doors
70.0,Petrol,Manual,5doors
71.0,Petrol,Manual,5doors
72.0,Petrol,Manual,5doors
73.0,Petrol,Manual,2doors
74.0,Petrol,Manual,2doors
75.0,Petrol,Manual,5doors
76.0,Petrol,Manual,5doors
77.0,Petrol,Manual,5doors
78.0,Petrol,Manual,2doors
79.0,Petrol,Manual,2doors
80.0,Petrol,Manual,5doors
81.0,Petrol,Automatic,5doors
82.0,Petrol,Manual,5doors
83.0,Petrol,Manual,2doors
84.0,Petrol,Automatic,2doors
85.0,Petrol,Manual,5doors
86.0,Petrol,Manual,5doors
109.0,Petrol,Manual,2doors
110.0,Diesel,Manual,5doors
111.0,Diesel,Manual,5doors
112.0,Diesel,Manual,5doors
113.0,Diesel,Manual,2doors
114.0,Diesel,Manual,2doors
115.0,Diesel,Manual,5doors
116.0,Diesel,Manual,5doors
118.0,Petrol,Manual,2doors
119.0,Diesel,Manual,2doors
120.0,Diesel,Manual,5doors
121.0,Petrol,Manual,5doors
122.0,Diesel,Manual,5doors
123.0,Petrol,Manual,2doors
124.0,Petrol,Manual,2doors
125.0,Petrol,Manual,5doors
126.0,Petrol,Manual,5doors
127.0,Petrol,Manual,5doors
128.0,Petrol,Manual,2doors
129.0,Petrol,Manual,2doors
130.0,Petrol,Manual,5doors
131.0,Petrol,Manual,5doors
132.0,Petrol,Manual,5doors
134.0,Petrol,Manual,2doors
135.0,Petrol,Manual,5doors
