MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Target,Xgrp
3.6812,52.0,4.848314607,1.078651685,614.0,1.724719101,5.0,1.0
5.5524,52.0,6.129032258,1.041935484,1842.0,2.970967742,2.939,1.0
3.875,44.0,4.739263804,1.024539877,561.0,1.720858896,4.125,1.0
3.4706,20.0,5.274253731,1.03358209,1822.0,3.399253731,1.576,1.0
7.7234,10.0,8.016901408,1.01971831,1221.0,3.43943662,3.041,1.0
2.2604,43.0,3.671480144,1.184115523,836.0,3.018050542,1.0,1.0
3.1729,45.0,5.219642857,1.078571429,1903.0,3.398214286,2.187,1.0
5.5456,50.0,5.678571429,1.099378882,1725.0,2.678571429,2.581,1.0
2.1573,28.0,4.826013514,1.045608108,1614.0,2.726351351,0.714,1.0
1.6823,21.0,4.261904762,0.976190476,933.0,2.776785714,0.838,1.0
5.2146,16.0,28.43214286,4.096428571,879.0,3.139285714,2.552,1.0
2.7109,37.0,4.292,1.06,1197.0,4.788,1.33,1.0
2.3,30.0,5.015444015,1.106177606,2170.0,4.189189189,0.956,1.0
8.4888,30.0,5.954113924,1.134493671,1292.0,2.044303797,5.00001,1.0
3.625,35.0,6.75,1.375,1870.0,4.328703704,0.55,1.0
2.3583,21.0,5.206896552,1.272727273,789.0,2.473354232,1.087,1.0
2.6635,16.0,4.555555556,1.047953216,1762.0,2.060818713,1.358,1.0
4.0469,27.0,6.542735043,1.136752137,822.0,3.512820513,1.274,1.0
2.6094,20.0,5.068783069,1.296296296,590.0,3.121693122,3.625,1.0
3.0352,41.0,5.400900901,1.009009009,1143.0,2.574324324,0.698,1.0
5.1098,16.0,5.814878893,0.929065744,1754.0,3.034602076,1.623,1.0
4.7755,36.0,5.956331878,1.010917031,2761.0,3.01419214,2.807,1.0
5.7385,28.0,5.53877551,1.024489796,1389.0,2.834693878,2.404,1.0
3.7143,32.0,4.443661972,1.011737089,2245.0,5.269953052,1.63,1.0
1.4042,46.0,4.401574803,1.181102362,786.0,3.094488189,1.1,1.0
5.3582,35.0,4.8125,0.9375,334.0,3.479166667,2.813,1.0
3.7174,4.0,3.567938931,1.172519084,983.0,1.500763359,2.75,1.0
4.4038,33.0,5.975929978,1.041575492,3527.0,3.858862144,1.867,1.0
6.0132,21.0,6.146341463,0.887804878,583.0,2.843902439,1.508,1.0
1.4661,44.0,4.492273731,1.050772627,1030.0,2.273730684,0.652,1.0
4.6997,17.0,5.778639104,1.031869078,3954.0,3.405684755,1.569,1.0
2.7644,15.0,5.242718447,1.098474341,1632.0,2.263522885,1.114,1.0
2.3792,19.0,5.1875,1.182291667,1654.0,2.871527778,0.9,1.0
3.925,14.0,4.874493927,0.91902834,633.0,2.562753036,0.838,1.0
2.6275,17.0,4.746575342,0.98630137,1501.0,2.570205479,1.421,1.0
1.3291,16.0,3.831867058,1.069403715,2612.0,2.553274682,1.208,1.0
5.8239,17.0,6.887323944,1.025039124,1970.0,3.082942097,2.475,1.0
3.5739,45.0,6.052083333,1.033854167,968.0,2.520833333,1.76,1.0
2.3942,42.0,4.329787234,1.186170213,511.0,2.718085106,1.232,1.0
3.5125,20.0,3.674094708,1.189415042,1352.0,1.883008357,3.506,1.0
5.2312,31.0,4.940199336,0.930232558,854.0,2.837209302,1.976,1.0
2.5156,43.0,4.829351536,1.187713311,569.0,1.941979522,1.909,1.0
3.75,52.0,6.018957346,1.308056872,609.0,2.886255924,2.325,1.0
2.125,44.0,4.294264339,1.139650873,2177.0,5.428927681,0.925,1.0
1.6009,44.0,3.115845539,1.098535286,2813.0,3.745672437,1.181,1.0
2.2019,50.0,4.134517766,1.109137056,1581.0,4.012690355,0.635,1.0
1.23,47.0,5.367346939,1.008163265,785.0,3.204081633,1.384,1.0
3.2813,45.0,5.934579439,1.130841121,598.0,2.794392523,1.054,1.0
2.7798,15.0,5.195219124,1.045816733,1351.0,2.69123506,2.058,1.0
3.0139,11.0,5.347712418,1.129411765,1927.0,2.518954248,1.99,1.0
1.0648,39.0,4.216901408,1.078873239,1182.0,3.329577465,0.5,1.0
4.2254,15.0,5.504065041,1.087804878,1571.0,2.554471545,3.209,1.0
2.4555,15.0,6.177033493,1.291866029,1697.0,2.706539075,0.556,1.0
2.902,15.0,5.609261939,1.125904486,1960.0,2.836468886,1.273,1.0
3.5525,7.0,5.273611111,1.180555556,2369.0,3.290277778,1.376,1.0
5.1695,2.0,7.299228583,1.306130735,7305.0,2.96589525,2.208,1.0
4.2471,4.0,5.816950633,1.05897772,6420.0,2.804718218,1.621,1.0
4.9583,35.0,5.496932515,0.987730061,978.0,3.0,3.428,1.0
4.5332,5.0,6.095873016,1.040634921,4449.0,2.824761905,1.955,1.0
1.9297,36.0,2.722288439,1.071513707,1964.0,2.340882002,2.033,1.0
3.775,9.0,6.103626943,1.215025907,1556.0,4.031088083,1.55,1.0
3.3839,52.0,4.364556962,1.053164557,1016.0,2.572151899,4.0,1.0
5.828,27.0,6.090909091,0.996363636,785.0,2.854545455,3.011,1.0
3.2889,32.0,5.061085973,1.050904977,2177.0,2.462669683,0.989,1.0
6.6783,16.0,6.456876457,0.946386946,1269.0,2.958041958,2.75,1.0
4.9676,34.0,5.430992736,1.075060533,973.0,2.355932203,4.141,1.0
3.6583,37.0,4.382352941,1.098039216,1233.0,4.029411765,1.505,1.0
3.3083,20.0,5.3878327,1.0,853.0,3.243346008,1.083,1.0
2.4559,28.0,4.681528662,1.070063694,811.0,2.582802548,0.756,1.0
3.86,23.0,5.518927445,1.138801262,1480.0,2.334384858,3.0,1.0
3.5446,19.0,6.804573805,1.27027027,1164.0,2.41995842,1.065,1.0
2.65,10.0,6.805343511,1.286259542,638.0,2.435114504,1.167,1.0
1.5817,20.0,7.19047619,1.58974359,682.0,2.498168498,0.978,1.0
2.6159,19.0,3.292091837,1.093112245,2004.0,2.556122449,1.823,1.0
3.5694,31.0,4.305019305,1.034749035,1369.0,5.285714286,1.505,1.0
1.7427,32.0,4.757575758,1.0171278,2060.0,2.714097497,0.606,1.0
2.3958,37.0,6.095238095,1.288515406,1067.0,2.988795518,0.784,1.0
1.2937,49.0,4.226618705,1.104316547,982.0,3.532374101,0.52,1.0
8.4355,3.0,7.0,1.106382979,2330.0,2.609182531,4.676,1.0
1.8917,43.0,3.51396648,1.06424581,1276.0,3.56424581,1.069,1.0
3.9041,36.0,5.098039216,1.013071895,1441.0,2.354575163,3.204,1.0
3.5861,38.0,5.127625202,0.978998384,1557.0,2.515347334,1.236,1.0
2.7656,17.0,12.7421875,2.6171875,285.0,2.2265625,1.3,1.0
4.9005,7.0,6.637053088,1.118093174,2662.0,2.884073673,2.64,1.0
2.9817,21.0,4.876988335,1.045599152,2756.0,2.922587487,2.25,1.0
4.25,27.0,5.178253119,1.046345811,1781.0,3.174688057,2.148,1.0
1.6509,17.0,6.153846154,1.487179487,333.0,2.846153846,0.857,1.0
8.1489,18.0,6.600817439,1.001362398,1634.0,2.226158038,4.99,1.0
2.1473,29.0,3.853846154,1.053846154,1368.0,3.507692308,1.953,1.0
2.5043,49.0,4.547272727,1.027272727,1171.0,2.129090909,0.767,1.0
2.7301,16.0,4.894436519,1.02853067,1777.0,2.534950071,1.904,1.0
1.9946,52.0,4.475806452,1.086021505,815.0,2.190860215,1.569,1.0
4.3438,16.0,5.941176471,0.958477509,903.0,3.124567474,0.931,1.0
6.6031,19.0,6.190647482,1.043165468,571.0,2.053956835,5.00001,1.0
1.5152,30.0,2.425572519,1.007633588,2019.0,3.853053435,0.813,1.0
7.8543,35.0,5.986111111,1.032407407,701.0,3.24537037,2.819,1.0
2.8214,52.0,4.794797688,1.060693642,788.0,2.277456647,1.643,1.0
1.125,26.0,3.794339623,1.050943396,855.0,1.613207547,2.333,1.0
4.4107,31.0,5.691642651,1.074927954,918.0,2.645533141,2.02,1.0
4.8017,39.0,5.669950739,1.014778325,1590.0,3.916256158,2.738,1.0
6.1824,36.0,6.9,1.119047619,621.0,2.957142857,2.741,1.0
3.5039,29.0,5.921501706,1.102389078,805.0,2.747440273,0.899,1.0
3.2943,32.0,4.90778872,1.11996419,3426.0,3.067144136,2.044,1.0
2.6458,26.0,5.416666667,1.101851852,830.0,3.842592593,1.275,1.0
0.9,52.0,2.237474262,1.05353466,3260.0,2.237474262,5.00001,1.0
0.8438,17.0,2.90797546,1.033742331,971.0,1.489263804,1.75,1.0
3.1901,52.0,4.730941704,1.01793722,3731.0,4.182735426,1.676,1.0
6.1834,16.0,8.263250883,1.026501767,1902.0,3.360424028,3.356,1.0
2.7628,39.0,4.332844575,1.020527859,1417.0,2.07771261,1.678,1.0
1.6011,52.0,3.816199377,1.034267913,955.0,2.975077882,1.063,1.0
2.7026,38.0,3.33126935,0.885448916,1535.0,4.752321981,1.45,1.0
3.25,29.0,4.505665722,1.011331445,1603.0,2.270538244,1.125,1.0
3.7738,18.0,7.545253863,1.514348786,970.0,2.141280353,2.794,1.0
6.1737,25.0,7.889502762,1.071823204,1212.0,3.348066298,3.131,1.0
9.8708,24.0,8.377464789,1.03943662,1997.0,2.812676056,5.00001,1.0
2.825,27.0,5.339882122,1.145383104,1472.0,2.89194499,0.766,1.0
1.6821,18.0,4.935698448,1.086474501,859.0,1.904656319,0.694,1.0
4.4464,52.0,4.394919169,1.064665127,831.0,1.919168591,5.00001,1.0
4.6371,31.0,5.576142132,1.210659898,1193.0,3.027918782,2.711,1.0
3.2426,50.0,3.856774194,1.073548387,1345.0,1.735483871,4.429,1.0
5.431,8.0,6.424471299,1.070996979,1883.0,2.844410876,2.467,1.0
2.6055,42.0,5.054744526,0.996350365,740.0,2.700729927,0.78,1.0
